timestamp,endpoint,status_code,response_time,error
2025-12-01 17:26:58,https://api.github.com,200,0.201,
2025-12-01 17:26:59,https://google.com,200,0.507,
2025-12-01 17:27:04,https://badurl.fake,ERROR,,"HTTPSConnectionPool(host='badurl.fake', port=443): Read timed out. (read timeout=5)"
